line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,how to implement key press event?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
2,1,Apiza,Here is an example using keyboard events:,INFORM,0,POS,,,
2,2,Apiza,\r\n\r\n```\r\n#include <stdio.h>\r\n#include <allegro5/allegro.h>\r,INFORM,1,CONT,examples,,
3,3,Programmer,how to play sound,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
4,4,Apiza,Here is an example of using audio:\n\n,INFORM,3,POS,examples,,
4,5,Apiza,"```\n#include &lt;stdio.h&gt;\n#include &lt;allegro5/allegro.h&gt;\n#include &lt;allegro5/allegro_audio.h&gt;\n#include &lt;allegro5/allegro_acodec.h&gt;\n\nint main(int argc, char **argv){\n\n ALLEGRO_DISPLAY *display = NULL;\n ALLEGRO_SAMPLE *sample=NULL;\n \n if(!al_init()){\n fprintf(stderr, ""failed to initialize allegro!\\n"");\n return -1;\n }\n \n if(!al_install_audio()){\n fprintf(stderr, ""failed to initialize audio!\\n"");\n return -1;\n }\n\n if(!al_init_acodec_addon()){\n fprintf(stderr, ""failed to initialize audio codecs!\\n"");\n return -1;\n }\n \n if (!al_reserve_samples(1)){\n fprintf(stderr, ""failed to reserve samples!\\n"");\n return -1;\n }\n \n sample = al_load_sample( ""footstep.wav"" );\n\n if (!sample){\n printf( ""Audio clip sample not loaded!\\n"" ); \n return -1;\n }\n \n display = al_create_display(640, 480);\n \n if(!display){\n fprintf(stderr, ""failed to create display!\\n"");\n return -1;\n }\n\n /* Loop the sample until the display closes. */\n al_play_sample(sample, 1.0, 0.0,1.0,ALLEGRO_PLAYMODE_LOOP,NULL);\n\n al_rest(10.0);\n \n al_destroy_display(display);\n al_destroy_sample(sample);\n return 0;\n}\n```",INFORM,4,CONT,examples,,
5,6,Programmer,how to display text on the screen?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
6,7,Apiza,Here is an example of displaying text:\n\n,INFORM,6,POS,,,
6,8,Apiza,"```\n#include &lt;stdio.h&gt;\n#include &lt;allegro5/allegro.h&gt;\n#include &lt;allegro5/allegro_font.h&gt;\n#include &lt;allegro5/allegro_ttf.h&gt;\n\nint main(int argc, char **argv){\n\n if(!al_init()){\n fprintf(stderr, ""Failed to initialize Allegro.\\n"");\n return -1;\n }\n\n al_init_font_addon(); // initialize the font addon\n al_init_ttf_addon();// initialize the ttf (True Type Font) addon\n\n ALLEGRO_DISPLAY *display = al_create_display(640,480);\n \n if (!display){\n fprintf(stderr, ""Failed to create display.\\n"");\n return -1;\n }\n\n ALLEGRO_FONT *font = al_load_ttf_font(""pirulen.ttf"",72,0 );\n\n if (!font){\n fprintf(stderr, ""Could not load \'pirulen.ttf\'.\\n"");\n return -1;\n }\n\n al_clear_to_color(al_map_rgb(50,10,70));\n al_draw_text(font, al_map_rgb(255,255,255), 640/2, (480/4),ALLEGRO_ALIGN_CENTRE, ""Your Text Here!"");\n\n al_flip_display();\n\n al_rest(10.0);\n\n al_destroy_display(display);\n\n return 0;\n}\n```",INFORM,7,CONT,examples,,
7,9,Programmer,what is your name?,ELICIT-INFORM,,,,,
8,10,Apiza,My name is Apiza.,INFORM,9,POS,,,
8,11,Apiza,Hello!,BE-POSITIVE,,,,,
9,12,Programmer,what is the interface / settings to play sound only once,ELICIT-INFORM,,,patterns,,
10,13,Programmer,I do not need loop,INFORM,12,CONT,patterns,,
11,14,Apiza,Try using `ALLEGRO_PLAYMODE_ONCE`,SUGGEST,13,POS,patterns,ALLEGRO_PLAYMODE,
12,15,Programmer,give me interface for al_play_sample all parameters,ELICIT-INFORM,,,basic,al_play_sample,
13,16,Apiza,Here is the documentation on `al_play_sample`:\n\n,INFORM,15,POS,,al_play_sample,
13,17,Apiza,"```\nal_play_sample\n\nbool al_play_sample(ALLEGRO_SAMPLE *spl, float gain, float pan, float speed,\n ALLEGRO_PLAYMODE loop, ALLEGRO_SAMPLE_ID *ret_id)\n\nSource Code\n\nPlays a sample on one of the sample instances created by al_reserve_samples. Returns true on success, false on failure. Playback may fail because all the reserved sample instances are currently used.\n\nParameters:\n\n gain - relative volume at which the sample is played; 1.0 is normal.\n pan - 0.0 is centred, -1.0 is left, 1.0 is right, or ALLEGRO_AUDIO_PAN_NONE.\n speed - relative speed at which the sample is played; 1.0 is normal.\n loop - ALLEGRO_PLAYMODE_ONCE, ALLEGRO_PLAYMODE_LOOP, or ALLEGRO_PLAYMODE_BIDIR\n ret_id - if non-NULL the variable which this points to will be assigned an id representing the sample being played. If al_play_sample returns false, then the contents of ret_id are invalid and must not be used as argument to other functions.\n\nSee also: ALLEGRO_PLAYMODE, ALLEGRO_AUDIO_PAN_NONE, ALLEGRO_SAMPLE_ID, al_stop_sample, al_stop_samples, al_lock_sample_id.\n```",INFORM,16,CONT,functionality concepts directives structure basic,al_play_sample,
