line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,How would I get key input from the user?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
2,1,Apiza,Hi!,BE-POSITIVE,,,,,
2,2,Apiza,"I'm Apiza, a virtual assistant designed to help you with api questions! ",INFORM,,,,,
2,3,Apiza,I look forward to helping you today.,BE-POSITIVE,,,,,
3,4,Programmer,"Okay, ",ASSESS,3,POS,,,
3,5,Programmer,how would I get key input from the user?,ELICIT-OFFER-OR-SUGGESTION,0,REP,patterns,,
4,6,Apiza,Hi!,BE-POSITIVE,1,REP,,,
4,7,Apiza,"I'm Apiza, a virtual assistant designed to help you with api questions!",INFORM,2,REP,,,
4,8,Apiza,I look forward to helping you today.,BE-POSITIVE,3,REP,,,
5,9,Apiza,"you can use the al_wait_for_event(ALLEGRO_EVENT_QUEUE* q, ALLEGRO_EVENT* ev) function to get input from the user",INFORM,5,POS,patterns basic,al_wait_for_event,
6,10,Programmer,What kind of data type does that return?,ELICIT-INFORM,9,FOL,basic,al_wait_for_event,
7,11,Apiza,"al_wait_for_event(ALLEGRO_EVENT_QUEUE* q, ALLEGRO_EVENT* ev) will populate the ALLEGRO_EVENT* object upon success",INFORM,10,POS,functionality,al_wait_for_event,
8,12,Programmer,What variables does the ALLEGRO_EVENT* object have?,ELICIT-INFORM,11,FOL,structure,ALLEGRO_EVENT,
9,13,Apiza,would you like the entire union declaration?,OFFER,12,FOL,structure basic,ALLEGRO_EVENT,
10,14,Programmer,Yes,ASSESS,13,POS,,ALLEGRO_EVENT,
11,15,Apiza,"union ALLEGRO_EVENT\n{\n /* This must be the same as the first field of _AL_EVENT_HEADER. */\n ALLEGRO_EVENT_TYPE type;\n /* `any' is to allow the user to access the other fields which are\n * common to all event types, without using some specific type\n * structure.\n */\n ALLEGRO_ANY_EVENT any;\n ALLEGRO_DISPLAY_EVENT display;\n ALLEGRO_JOYSTICK_EVENT joystick;\n ALLEGRO_KEYBOARD_EVENT keyboard;\n ALLEGRO_MOUSE_EVENT mouse;\n ALLEGRO_TIMER_EVENT timer;\n ALLEGRO_TOUCH_EVENT touch;\n ALLEGRO_USER_EVENT user;\n};",INFORM,14,POS,directives structure basic,ALLEGRO_EVENT,
12,16,Programmer,Can I have more information about the ALLEGRO_KEYBOARD_EVENT object?,ELICIT-INFORM,15,FOL,basic,ALLEGRO_KEYBOARD_EVENT,
13,17,Apiza,Sure!,INFORM,16,POS,,,
