line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,Hi,BE-POSITIVE,,,,,
2,1,Apiza,Hello! ,BE-POSITIVE,0,POS,,,
2,2,Apiza,"I am Apiza, an automated virtual assistant for programmers that is supervised by a human.",INFORM,1,CONT,,,
2,3,Apiza,I look forward to helping you today!,BE-POSITIVE,2,CONT,,,
3,4,Programmer,how do I create a new session in libssh,ELICIT-OFFER-OR-SUGGESTION,,,patterns,ssh_session,
4,5,Apiza,I would suggest using the function ssh_new:\n\n,SUGGEST,4,POS,patterns basic,ssh_new ssh_session,
4,6,Apiza,ssh_session ssh_new\t(\tvoid \t\t)\n\n,INFORM,5,CONT,basic,ssh_new ssh_session,
4,7,Apiza,Description\nCreate a new ssh session.\n\n,INFORM,6,CONT,functionality,ssh_new ssh_session,
4,8,Apiza,"Returns\nA new ssh_session pointer, NULL on error.\n\n",INFORM,7,CONT,functionality basic,ssh_new ssh_session,
4,9,Apiza,"References ssh_buffer_new(), and ssh_set_blocking().",INFORM,8,CONT,structure,ssh_new ssh_session,
5,10,Programmer,can you give me an example on how to use ssh_new,ELICIT-INFORM,6,FOL,examples,ssh_new,
6,11,Apiza,Sure! ,BE-POSITIVE,10,POS,,,
6,12,Apiza,Something like:\n\nmy_ssh_session = ssh_new();,INFORM,10,POS,examples,ssh_new,
7,13,Programmer,sweet,ASSESS,12,POS,,,
8,14,Apiza,I'm glad to hear it!,BE-POSITIVE,13,POS,,,
9,15,Programmer,how do I authenticate my libssh session,ELICIT-OFFER-OR-SUGGESTION,,,patterns,ssh_session,
10,16,Apiza,There are several authentication functions.,INFORM,15,PART,structure,ssh_session,
10,17,Apiza,How would you like to authenticate?,ELICIT-INFORM,15,FOL,patterns,,
11,18,Programmer,username,INFORM,17,POS,patterns,,
12,19,Apiza,I found a few functions that authenticate with username:\n\n,INFORM,15,PART,structure patterns,ssh_session,
12,20,Apiza,"int ssh_userauth_none\t(\tssh_session \tsession,\nconst char * \tusername \n)\n\nint ssh_userauth_password\t(\tssh_session \tsession,\nconst char * \tusername,\nconst char * \tpassword \n)\n\nint ssh_userauth_publickey\t(\tssh_session \tsession,\nconst char * \tusername,\nconst ssh_key \tprivkey \n)",INFORM,19,CONT,structure basic,ssh_session,
13,21,Programmer,how do I connect to localhost with libssh,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
14,22,Apiza,"To connect, I would recommend the function\n int ssh_connect\t(\tssh_session \tsession\t).\n\n",SUGGEST,21,POS,patterns basic,ssh_connect,
14,23,Apiza,"I also found a reference to ""localhost"" in \nint ssh_options_getopt\t(\tssh_session \tsession,\nint * \targcptr,\nchar ** \targv \n)",INFORM,22,FOL,patterns basic,ssh_options_getopt,
15,24,Programmer,what do the return values for ssh_connect,ELICIT-INFORM,22,FOL,,ssh_connect,
16,25,Programmer,what are the return values for ssh_connect,ELICIT-INFORM,24,FIX,functionality,ssh_connect,
17,26,Apiza,"Returns\nSSH_OK on success, SSH_ERROR on error.\nSSH_AGAIN, if the session is in nonblocking mode, and call must be done again.",INFORM,25,POS,functionality,ssh_connect,
18,27,Programmer,what are the return values for ssh_userauth_password,ELICIT-INFORM,20,FOL,functionality,ssh_userauth_password,
19,28,Apiza,"Returns\nSSH_AUTH_ERROR: A serious error happened.\nSSH_AUTH_DENIED: Authentication failed: use another method\nSSH_AUTH_PARTIAL: You've been partially authenticated, you still have to use another method\nSSH_AUTH_SUCCESS: Authentication success\nSSH_AUTH_AGAIN: In nonblocking mode, you've got to call this again later.\n",INFORM,27,POS,functionality,ssh_userauth_password,
19,29,Apiza,Note\nMost server implementations do not permit changing the username during authentication. The username should only be set with ssh_options_set() only before you connect to the server.,INFORM,28,FOL,functionality,ssh_userauth_password,
