line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,hi,BE-POSITIVE,,,,,
2,1,Apiza,Hello! ,BE-POSITIVE,0,POS,,,
2,2,Apiza,I'm Apiza: a Virtual Assistant designed to help answer api questions!,INFORM,,,,,
3,3,Programmer,what is the API for instantiating connection object for libSSH?,ELICIT-INFORM,,,patterns,,
4,4,Programmer,how do I create a new ssh_session?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,ssh_session,
5,5,Apiza,"To create a connection in libSSH, you could use the function ""ssh_session ssh_new(void)""",SUGGEST,4,POS,patterns basic,ssh_session ssh_new,
6,6,Programmer,"what are the parameters for setting localhost, port number and ip address",ELICIT-INFORM,,,patterns,,
7,7,Programmer,how do I conect,ELICIT-OFFER-OR-SUGGESTION,,,,,
8,8,Programmer,how do I connect,OTHER,7,FIX,patterns,,
9,9,Apiza,"According to libssh::ssh_options_set(ssh_session session, enum ssh_options_e type, const void* value), the ""type"" parameter can be set to: SSH_OPTIONS_HOST for setting a host, SSH_OPTIONS_PORT for setting a port number",INFORM,6,POS,patterns basic,ssh_options_set,
10,10,Apiza,"To connect in libssh, you can use the function ""int ssh_connect(ssh_session session)""",SUGGEST,8,POS,patterns basic,ssh_connect,
11,11,Programmer,thanks thats helpful,ASSESS,10,POS,,,
12,12,Apiza,I am happy to be of service!,BE-POSITIVE,11,POS,,,
13,13,Programmer,how do I authenticate to the server?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
14,14,Apiza,"There are several authentication functions, ",INFORM,13,PART,structure,,
14,15,Apiza,would you like me to list them all?,ELICIT-OFFER-OR-SUGGESTION,14,FOL,structure,,
15,16,Programmer,just for the server,SUGGEST,15,PART,structure,,
16,17,Apiza,"There are several authentication functions, ",INFORM,16,PART,structure,,
16,18,Apiza,would you like me to list them all?,ELICIT-OFFER-OR-SUGGESTION,17,FOL,structure,,
17,19,Programmer,yes,SUGGEST,19,POS,structure,,
18,20,Apiza,"int ssh_userauth_gssapi(ssh_session session)\nint ssh_userauth_kbdint(ssh_session session, const char * user, const char * submethods)\nint ssh_userauth_none(ssh_session session, const char * username)\nint ssh_userauth_password(ssh_session session, const char * username, const char * password)\nint ssh_userauth_publickey(ssh_session session, const char * username, const ssh_key privkey)\nint ssh_userauth_publickey_auto(ssh_session session, const char * username, const char * passphrase)\nint ssh_userauth_try_publickey(ssh_session session, const char * username, const ssh_key pubkey)",INFORM,14,POS,structure basic,,
19,21,Programmer,do you know the is_server_known function?,ELICIT-INFORM,,,basic,ssh_is_server_known,
20,22,Programmer,how do I create a new ssh_channel?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,ssh_channel,
21,23,Apiza,"libssh contains a function ""int ssh_is_server_known(ssh_session session)"" that can be used to check if a server is known.",INFORM,21,POS,patterns basic,ssh_is_server_known,
22,24,Apiza,"to create a new channel, you can use the ""ssh_channel ssh_channel_new(ssh_session session)"" function",SUGGEST,22,POS,patterns basic,ssh_channel ssh_channel_new,
23,25,Programmer,how would i execute the who command in the ssh_channel function?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,ssh_channel,
24,26,Apiza,"I'm sorry, ",BE-POSITIVE,25,UNC,,,
24,27,Apiza,"I do not understand your question, ",COMMENT-ABOUT-UNDERSTANDING,26,CONT,,,
24,28,Apiza,I am only authorized to respond to api questions.,INFORM,25,NEG,,,
25,29,Programmer,what is the api for the ssh_channel?,ELICIT-INFORM,,,basic structure,ssh_channel,
26,30,Apiza,"There are 47 functions referring to channel objects in libssh, ",INFORM,29,PART,structure,ssh_channel,
26,31,Apiza,to which are you referring?,ELICIT-INFORM,30,FOL,structure,ssh_channel,
27,32,Programmer,who,ELICIT-INFORM,31,POS,,,
