line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,What function is used to create a session,ELICIT-INFORM,,,patterns,ssh_session,
2,1,Apiza,Are you asking about ssh_new?,ELICIT-INFORM,0,POS,patterns,ssh_new,
3,2,Programmer,"Yes, ",INFORM,1,POS,basic,ssh_new,
3,3,Programmer,what arguments does it take?,ELICIT-INFORM,1,FOL,basic,ssh_new,
4,4,Apiza,It does not take any arguments.,INFORM,4,POS,basic,ssh_new,
5,5,Programmer,does it have a return value or error code?,ELICIT-INFORM,1,FOL,basic,ssh_new,
6,6,Apiza,Would you like to see the function signature?,OFFER,5,FOL,basic,ssh_new,
7,7,Programmer,yes,ASSESS,7,POS,basic,ssh_new,
8,8,Apiza,ssh_session ssh_new(void ),INFORM,5,POS,basic,ssh_new,
9,9,Programmer,what is the type of ssh_session?,ELICIT-INFORM,8,FOL,basic,ssh_session,
10,10,Apiza,It is a struct,INFORM,9,POS,basic,ssh_session,
11,11,Programmer,what is the declaration of the struct,ELICIT-INFORM,10,FOL,basic,ssh_session,
12,12,Programmer,what are the data members?,ELICIT-INFORM,10,FOL,structure,ssh_session,
13,13,Apiza,ssh_session contains many data members.,INFORM,12,PART,structure,ssh_session,
13,14,Apiza,Can you give more information on what you are interested in?,ELICIT-INFORM,12,FOL,structure,ssh_session,
14,15,Apiza,Or would you like me to list them all?,OFFER,12,FOL,structure,ssh_session,
15,16,Programmer,how do I check if an ssh session was successfully created?,ELICIT-OFFER-OR-SUGGESTION,,,functionality,ssh_session,
16,17,Apiza,The function ssh_new returns null on error.,INFORM,16,POS,functionality,ssh_new ssh_session,
17,18,Programmer,what is the returned ptr a ptr to?,ELICIT-INFORM,17,FOL,functionality,ssh_new,
18,19,Apiza,"ssh_new returns a new ssh_session pointer, NULL on error.",INFORM,18,POS,functionality,ssh_new,
19,20,Programmer,"ssh_new is returning null,",INFORM,,,functionality patterns,ssh_new,
