line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,hello Apiza,be-pos,,,,,
2,1,Apiza,Hi Programmer_13.,be-pos,0,POS,,,
2,2,Apiza,Let me know if you have any questions about the LibSSH API.,offer,,,,,
3,3,Programmer,how can I connect to the localhost using LibSSH,eli-sugg,,,patterns,,
4,4,Apiza,Here is a function that might help:\n\n,sugg-all,3,POS,patterns,,
4,5,Apiza,```\nint ssh_connect\t(\tssh_session \tsession\t)\n\n,sugg-all,4,CONT,basic,ssh_connect,
4,6,Apiza,Description\nConnect to the ssh server.\n\n,sugg-all,5,CONT,basic,ssh_connect,
4,7,Apiza,Parameters\nsession: The ssh session to connect.\n\n,sugg-all,6,CONT,basic,ssh_connect,
4,8,Apiza,"Returns\nSSH_OK on success, SSH_ERROR on error.\nSSH_AGAIN, if the session is in nonblocking mode, and call must be done again.\n\n",sugg-all,7,CONT,functionality,ssh_connect,
4,9,Apiza,See also\nssh_new()\nssh_disconnect()\n\n```,sugg-all,8,CONT,,ssh_connect,
5,10,Programmer,Do you have any examples of this function in use cases Apiza,eli-info,8,FOL,examples,ssh_connect,
6,11,Apiza,"Sorry,",give-up,10,NEG,,,
6,12,Apiza,the LibSSH documentation doesn't come with examples.,give-up,11,CONT,,,
7,13,Programmer,can you show me the function ssh_new,eli-info-related-all,9,FOL,basic,ssh_new,
8,14,Apiza,Here is the documentation for `ssh_new`:\n\n,info-all,13,POS,,ssh_new,
8,15,Apiza,```\nssh_session ssh_new\t(\tvoid \t\t)\n\n,info-all,14,CONT,basic,ssh_new,
8,16,Apiza,Description\nCreate a new ssh session.\n\n\n\n,info-all,15,CONT,basic,ssh_new,
8,17,Apiza,"Returns\nA new ssh_session pointer, NULL on error.\n\n\n\n```",info-all,16,CONT,functionality,ssh_new,
9,18,Programmer,can you show me the documentation on ssh_session,eli-info-related-all,,,basic,ssh_session,
10,19,Apiza,I couldn't find anything exactly like that. ,give-up,18,UNC,,,
10,20,Apiza,Here is a struct definition that might help:\n\n,info-all,18,PART,structure basic,ssh_session_struct,
