line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,"Hello, ",BE-POSITIVE,,,,,
1,1,Programmer,so the first question:\nIs there keyboard event type?,ELICIT-INFORM,,,structure,,
2,2,Apiza,Hi! ,BE-POSITIVE,0,POS,,,
2,3,Apiza,"My name is Apiza, a brand new virtual assistant, ",INFORM,,,,,
2,4,Apiza,I look forward to helping you today.,BE-POSITIVE,,,,,
3,5,Programmer,Is there keyboard event type?,ELICIT-INFORM,1,REP,structure,,
4,6,Apiza,"Yes, there is a keyboard event type,",INFORM,5,POS,structure,,
4,7,Apiza, would you like the type name?,ELICIT-INFORM,6,FOL,basic,,
5,8,Programmer,What is keyboard event type name?,ELICIT-INFORM,7,POS,basic,,
6,9,Apiza,"you can register a keyboard callback with al_register_event_source(event_queue, al_get_keyboard_event_source());",SUGGEST,8,PART,patterns basic,al_register_event_source,
7,10,Programmer,What is keyboard event constant name?,ELICIT-INFORM,9,NEG,basic,,
8,11,Apiza,"a keyboard event can be inferred via an enum contained by the ""type"" field of an ALLEGO_EVENT object",INFORM,10,POS,structure,ALLEGRO_EVENT,
9,12,Programmer,Describe ALLEGO_EVENT object,ELICIT-INFORM,11,FOL,basic,ALLEGRO_EVENT,
10,13,Apiza,an ALLEGRO_EVENT object is a data type containing information regarding an event that has been recorded from a variety of input sources. ,INFORM,12,POS,functionality,ALLEGRO_EVENT,
10,14,Apiza,The most notable use of this type is to specify what type of event occurred.,INFORM,13,CONT,purpose,ALLEGRO_EVENT,
11,15,Programmer,Show me declaration of ALLEGO_EVENT,ELICIT-INFORM,14,FOL,structure basic,ALLEGRO_EVENT,
12,16,Apiza,"one second, parsing source code...",STALL,15,PART,,,
13,17,Apiza,from source file events.h:\n\n,INFORM,15,POS,structure,,
13,18,Apiza,"typedef union ALLEGRO_EVENT ALLEGRO_EVENT;\n\nunion ALLEGRO_EVENT\n{\n /* This must be the same as the first field of _AL_EVENT_HEADER. */\n ALLEGRO_EVENT_TYPE type;\n /* `any' is to allow the user to access the other fields which are\n * common to all event types, without using some specific type\n * structure.\n */\n ALLEGRO_ANY_EVENT any;\n ALLEGRO_DISPLAY_EVENT display;\n ALLEGRO_JOYSTICK_EVENT joystick;\n ALLEGRO_KEYBOARD_EVENT keyboard;\n ALLEGRO_MOUSE_EVENT mouse;\n ALLEGRO_TIMER_EVENT timer;\n ALLEGRO_TOUCH_EVENT touch;\n ALLEGRO_USER_EVENT user;\n};",INFORM,17,CONT,directives structure basic,ALLEGRO_EVENT,
14,19,Programmer,Show me declaration of ALLEGRO_EVENT_TYPE,ELICIT-INFORM,18,FOL,structure basic,ALLEGRO_EVENT_TYPE,
15,20,Apiza,from source file events.h:\n\n,INFORM,19,POS,structure,,
15,21,Apiza,"/* Type: ALLEGRO_EVENT_TYPE\n */\ntypedef unsigned int ALLEGRO_EVENT_TYPE;\n\nenum\n{\n ALLEGRO_EVENT_JOYSTICK_AXIS = 1,\n ALLEGRO_EVENT_JOYSTICK_BUTTON_DOWN = 2,\n ALLEGRO_EVENT_JOYSTICK_BUTTON_UP = 3,\n ALLEGRO_EVENT_JOYSTICK_CONFIGURATION = 4,\n\n ALLEGRO_EVENT_KEY_DOWN = 10,\n ALLEGRO_EVENT_KEY_CHAR = 11,\n ALLEGRO_EVENT_KEY_UP = 12,\n\n ALLEGRO_EVENT_MOUSE_AXES = 20,\n ALLEGRO_EVENT_MOUSE_BUTTON_DOWN = 21,\n ALLEGRO_EVENT_MOUSE_BUTTON_UP = 22,\n ALLEGRO_EVENT_MOUSE_ENTER_DISPLAY = 23,\n ALLEGRO_EVENT_MOUSE_LEAVE_DISPLAY = 24,\n ALLEGRO_EVENT_MOUSE_WARPED = 25,\n\n ALLEGRO_EVENT_TIMER = 30,\n\n ALLEGRO_EVENT_DISPLAY_EXPOSE = 40,\n ALLEGRO_EVENT_DISPLAY_RESIZE = 41,\n ALLEGRO_EVENT_DISPLAY_CLOSE = 42,\n ALLEGRO_EVENT_DISPLAY_LOST = 43,\n ALLEGRO_EVENT_DISPLAY_FOUND = 44,\n ALLEGRO_EVENT_DISPLAY_SWITCH_IN = 45,\n ALLEGRO_EVENT_DISPLAY_SWITCH_OUT = 46,\n ALLEGRO_EVENT_DISPLAY_ORIENTATION = 47,\n ALLEGRO_EVENT_DISPLAY_HALT_DRAWING = 48,\n ALLEGRO_EVENT_DISPLAY_RESUME_DRAWING = 49,\n\n ALLEGRO_EVENT_TOUCH_BEGIN = 50,\n ALLEGRO_EVENT_TOUCH_END = 51,\n ALLEGRO_EVENT_TOUCH_MOVE = 52,\n ALLEGRO_EVENT_TOUCH_CANCEL = 53,\n\n ALLEGRO_EVENT_DISPLAY_CONNECTED = 60,\n ALLEGRO_EVENT_DISPLAY_DISCONNECTED = 61\n};",INFORM,20,CONT,structure basic,ALLEGRO_EVENT_TYPE,
16,22,Programmer,Show me declaration of ALLEGRO_KEYBOARD_EVENT,ELICIT-INFORM,18,FOL,structure basic,ALLEGRO_KEYBOARD_EVENT,
17,23,Apiza,from source file events.h:\n\n,INFORM,22,POS,structure,,
17,24,Apiza,typedef struct ALLEGRO_KEYBOARD_EVENT\n{\n _AL_EVENT_HEADER(struct ALLEGRO_KEYBOARD)\n struct ALLEGRO_DISPLAY *display; /* the window the key was pressed in */\n int keycode; /* the physical key pressed */\n int unichar; /* unicode character or negative */\n unsigned int modifiers; /* bitfield */\n bool repeat; /* auto-repeated or not */\n} ALLEGRO_KEYBOARD_EVENT;,INFORM,23,CONT,concepts structure basic,ALLEGRO_KEYBOARD_EVENT,
18,25,Programmer,What does mean al_get_keyboard: Assertion `new_keyboard_driver' failed.,ELICIT-INFORM,,,concepts,al_get_keyboard,
19,26,Apiza,"I am unsure,",INFORM,25,UNC,,al_get_keyboard,
19,27,Apiza,scanning source files...,STALL,26,CONT,,,
20,28,Apiza,I believe the assertion comes from this function defined in src/keybdnu.c:\n\n\n,INFORM,25,POS,control,al_get_keyboard,
20,29,Apiza,/* Function: al_is_keyboard_installed\n */\nbool al_is_keyboard_installed(void)\n{\n return (new_keyboard_driver ? true : false);\n},INFORM,28,CONT,basic functionality,al_get_keyboard al_is_keyboard_installed,
21,30,Programmer,How to install keyboard?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
22,31,Apiza,keyboards can be initialized using the function al_install_keyboard();,INFORM,30,POS,patterns,al_install_keyboard,
23,32,Programmer,Show me declaration for al_install_keyboard function,ELICIT-INFORM,31,FOL,basic,al_install_keyboard,
24,33,Apiza,"one second, scanning source files...",STALL,32,PART,,,
25,34,Apiza,would you like the declaration or definition of al_install_keyboard()?,ELICIT-INFORM,32,FOL,,al_install_keyboard,
26,35,Programmer,I would like to get declaration al_install_keyboard,ELICIT-INFORM,34,POS,,al_install_keyboard,
27,36,Apiza,bool al_install_keyboard(void);,INFORM,35,POS,basic,al_install_keyboard,
28,37,Programmer,Show me documentation for al_install_keyboard,ELICIT-INFORM,36,FOL,basic,al_install_keyboard,
29,38,Apiza,from doc file docs/src/refman/keyboard.txt:\n\n,INFORM,37,POS,,al_install_keyboard,
29,39,Apiza,## API: ,OTHER,38,CONT,,,
29,40,Apiza,al_install_keyboard\n\n,OTHER,39,CONT,,al_install_keyboard,
29,41,Apiza,Install a keyboard driver.,INFORM,40,CONT,functionality,al_install_keyboard,
29,42,Apiza,"Returns true if successful. If a driver\nwas already installed, nothing happens and true is returned.\n\n",INFORM,41,CONT,functionality,al_install_keyboard,
