line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,hey,BE-POSITIVE,,,,,
2,1,Apiza,Hello!,BE-POSITIVE,0,POS,,,
3,2,Programmer,How can I see if the user pressed a key,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
4,3,Apiza,Are you asking about al_key_down?,ELICIT-INFORM,2,FOL,basic,al_key_down,
5,4,Programmer,yes,INFORM,3,POS,,al_key_down,
6,5,Programmer,also what does al_wait_for_event do?,ELICIT-INFORM,,,functionality,al_wait_for_event,
7,6,Programmer,what arguments does it take ,ELICIT-INFORM,5,CONT,basic,al_wait_for_event,
7,7,Programmer,and what does it return,ELICIT-INFORM,6,CONT,basic,al_wait_for_event,
8,8,Apiza,al_key_down returns true if the key specified was held down in the state specified.,INFORM,4,POS,functionality,al_key_down,
9,9,Apiza,"bool al_key_down(const ALLEGRO_KEYBOARD_STATE *state, int keycode)",INFORM,8,CONT,basic,al_key_down,
10,10,Programmer,"what are the keycodes for up, down, left, and right arrowkeys",ELICIT-INFORM,9,FOL,structure,,
11,11,Apiza,"al_wait_for_event waits until the event queue specified is non-empty. If ret_eventis not NULL, the first event in the queue will be copied into ret_event and removed from the queue. If ret_event is NULL the first event is left at the head of the queue.",INFORM,5,POS,functionality control,al_wait_for_event,
12,12,Apiza,"void al_wait_for_event(ALLEGRO_EVENT_QUEUE *queue, ALLEGRO_EVENT *ret_event)",INFORM,11,CONT,basic,al_wait_for_event,
13,13,Apiza,"ALLEGRO_KEY_LEFT, ALLEGRO_KEY_RIGHT, ALLEGRO_KEY_UP, ALLEGRO_KEY_DOWN",INFORM,10,POS,structure,ALLEGRO_KEY_*,
14,14,Programmer,"when a user presses a key, is a corresponding event placed in the event queue?",ELICIT-INFORM,,,control,ALLEGRO_EVENT_QUEUE,
15,15,Apiza,I believe so,INFORM,14,POS,control,ALLEGRO_EVENT_QUEUE,
16,16,Programmer,Well I'll do an experiment and let you know,OFFER,15,POS,,ALLEGRO_EVENT_QUEUE,
16,17,Programmer,:slightly_smiling_face:,BE-POSITIVE,16,CONT,,,
17,18,Programmer,what states can allegro_keyboard_state be in,ELICIT-INFORM,9,FOL,stucture,ALLEGRO_KEYBOARD_STATE,
18,19,Apiza,"ALLEGRO_KEYBOARD_STATE is a structure that is used to hold a ""snapshot"" of a keyboard\'s state at a particular instant. ",INFORM,18,POS,basic purpose,ALLEGRO_KEYBOARD_STATE,
18,20,Apiza,"It contains the following publically readable fields: display - points to the display that had keyboard focus at the time the state was saved. If no display was focused, this points to NULL.\n",INFORM,19,CONT,structure concepts functionality,ALLEGRO_KEYBOARD_STATE,
18,21,Apiza,You cannot read the state of keys directly. Use the function al_key_down.,INFORM,20,CONT,functionality patterns,ALLEGRO_KEYBOARD_STATE al_key_down,
19,22,Programmer,what's the event type for a key press,ELICIT-INFORM,,,structure,,
20,23,Apiza,Are you asking about al_get_keyboard_event_source?,ELICIT-INFORM,22,FOL,basic,al_get_keyboard_event_source,
21,24,Programmer,I don't know. ,INFORM,23,UNC,,,
21,25,Programmer,What does that do?,ELICIT-INFORM,23,FOL,functionality,al_get_keyboard_event_source,
22,26,Apiza,The method retrieves the keyboard event source. All keyboard events are generated by this event source.\n,INFORM,25,POS,functionality control,al_get_keyboard_event_source,
22,27,Apiza,Returns NULL if the keyboard subsystem was not installed.,INFORM,26,CONT,functionality control,al_get_keyboard_event_source,
23,28,Apiza,ALLEGRO_EVENT_SOURCE *al_get_keyboard_event_source(void),INFORM,27,CONT,basic,al_get_keyboard_event_source,
24,29,Programmer,what is the keyboard event type called,ELICIT-INFORM,28,NEG,basic,,
25,30,Apiza,Are you asking about one of the following?,ELICIT-INFORM,29,FOL,basic,,
25,31,Apiza,"ALLEGRO_EVENT_KEY_DOWN, ALLEGRO_EVENT_KEY_UP, ALLEGRO_EVENT_KEY_CHAR",INFORM,30,CONT,basic,ALLEGRO_EVENT_KEY_*,
26,32,Programmer,what is ALLEGRO_EVENT_KEY_LEFT,ELICIT-INFORM,31,FOL,basic,,
27,33,Apiza,I'm not sure I understand,ELICIT-COMMENT-ABOUT-UNDERSTANDING,32,UNC,,,
28,34,Programmer,what is ALLEGRO_EVENT_KEY_DOWN,ELICIT-INFORM,33,FOL,basic,ALLEGRO_EVENT_KEY_DOWN,
29,35,Apiza,ALLEGRO_EVENT_KEY_DOWN represents a keyboard key was pressed.,INFORM,34,POS,basic,ALLEGRO_EVENT_KEY_DOWN,
30,36,Apiza,Note: this event is about the physical keys being pressed on the keyboard. Look for ALLEGRO_EVENT_KEY_CHAR events for character input.,INFORM,35,CONT,concepts structure,ALLEGRO_EVENT_KEY_DOWN,
31,37,Programmer,what are the possible events,ELICIT-INFORM,,,structure,,
