line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,"Hello Apiza,",be-pos,,,,,
1,1,Programmer,are the functions of libssh preceeded by 'ssh'?,confirm,,,concepts,libssh,
2,2,Apiza,Hi Programmer_11.,be-pos,0,POS,,,
2,3,Apiza,Most of the functions of LibSSH are preceded by `ssh`. ,yes,1,POS,concepts,libssh,
2,4,Apiza,An example is `ssh_basename`. ,example,3,CONT,,libssh,
2,5,Apiza,"Some functions are not preceded by `ssh`, ",info,4,CONT,concepts,libssh,
2,6,Apiza,"for example, `channel_read_buffer`.",example,5,CONT,,libssh,
3,7,Programmer,Is there a function to set the options of the connection in LibSSH,eli-sugg,,,patterns,,
4,8,Programmer,And which is the code if the server is known?,eli-info-related,,,functionality,,
5,9,Apiza,How about this function?\n\n,sugg-info-extra,7,POS,,ssh_options_set,
5,10,Apiza,"```\nint ssh_options_set ( ssh_session session,\nenum ssh_options_e type,\nconst void * value \n)\n```\n\n",sugg-info-extra,9,CONT,basic,ssh_options_set,
5,11,Apiza,Description\nThis function can set all possible ssh options.\n\n,sugg-info-extra,10,CONT,functionality,ssh_options_set,
5,12,Apiza,Let me know if you would like to see the complete documentation.,offer,11,FOL,functionality,ssh_options_set,
6,13,Programmer,"Please, ",eli-info-all,11,FOL,,,
6,14,Programmer,show me the complete documentation of this function,eli-info-all,13,CONT,basic,ssh_options_set,
7,15,Apiza,"```\r\nint ssh_options_set(ssh_session session,\r\nenum ssh_options_e type,\r\nconst void * value \r\n)\r",info,14,POS,basic,ssh_options_set,
8,16,Programmer,What about the parameters of the function?,eli-info,15,FOL,functionality,ssh_options_set,
9,17,Programmer,"Ok,",accept,16,NEG,,,
9,18,Programmer,I have seen it,accept,17,CONT,,ssh_options_set,
10,19,Programmer,And the constant of the server when it is known?,eli-info-related,,,functionality,,
11,20,Apiza,I'm not sure what you mean by that. ,eli-info,19,UNC,,,
11,21,Apiza,Which constant are you wondering about?,eli-info,19,FOL,,,
12,22,Programmer,I want to know the constant when the server is known,elaborate,21,POS,functionality,,
13,23,Apiza,Does this information about `ssh_options_set` help?\n\n,sugg-info-all,19,PART,,ssh_options_set,
13,24,Apiza,Parameters\nvalue: The value to set. This is a generic pointer and the datatype which is used should be set according to the type set.,sugg-info-all,23,CONT,functionality,ssh_options_set,
