line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,what is the function to read keyboard input?,ELICIT-INFORM,,,patterns,,
2,1,Programmer,what is the function to read keyboard input?,ELICIT-INFORM,0,REP,patterns,,
3,2,Apiza,Here is a function that might help with that:\n\n,INFORM,0,POS,patterns,al_key_down,
3,3,Apiza,"```bool al_key_down(const ALLEGRO_KEYBOARD_STATE *state, int keycode)```",INFORM,2,CONT,basic,al_key_down,
4,4,Programmer,what is the api for allocating ALLEGRO_KEYBOARD_STATE?,ELICIT-INFORM,3,FOL,patterns,,
5,5,Apiza,Here is a function that might help with that:\n\n,INFORM,4,POS,patterns,al_clear_keyboard_state,
5,6,Apiza,```void al_clear_keyboard_state(ALLEGRO_DISPLAY *display)```,INFORM,5,CONT,basic,al_clear_keyboard_state,
6,7,Programmer,give me example of al_key_down usage,ELICIT-INFORM,3,FOL,examples,al_key_down,
7,8,Apiza,Here is an example of keyboard input:\n\n,INFORM,7,POS,examples,,
7,9,Apiza,<https://wiki.allegro.cc/index.php?title=Basic_Keyboard_Example>,INFORM,8,CONT,examples references,,
8,10,Programmer,how to you play an audio wav file,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
9,11,Apiza,Here is a function that might help with that:\n\n,SUGGEST,10,POS,patterns,al_play_sample,
9,12,Apiza,"```\nbool al_play_sample(ALLEGRO_SAMPLE *spl, float gain, float pan, float speed,\n ALLEGRO_PLAYMODE loop, ALLEGRO_SAMPLE_ID *ret_id)\n```",INFORM,11,CONT,basic,al_play_sample,
10,13,Programmer,give me example of playing a wav file,ELICIT-INFORM,,,examples,,
11,14,Apiza,Here is an example of playing a wav file:\n\n,INFORM,13,POS,examples,,
11,15,Apiza,<https://wiki.allegro.cc/index.php?title=Allegro_5_Tutorial/Addons/Audio>,INFORM,14,CONT,examples references,,
12,16,Programmer,what is the function to display numbers on screen,ELICIT-INFORM,,,patterns,,
13,17,Apiza,Here is a function that might help with that:\n\n,INFORM,16,POS,patterns,al_create_display,
13,18,Apiza,"```\nALLEGRO_DISPLAY *al_create_display(int w, int h)\n```",INFORM,17,CONT,basic,al_create_display,
14,19,Programmer,give me example of display numbers to display,ELICIT-INFORM,,,examples,,
15,20,Apiza,Here is an example of using displays:\n\n,INFORM,19,POS,examples,,
15,21,Apiza,<https://wiki.allegro.cc/index.php?title=Allegro_5_Tutorial/Displays>,INFORM,20,CONT,examples references,,
16,22,Programmer,how to draw text on display,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
17,23,Apiza,Here is a function that might help with that:\n\n,SUGGEST,22,POS,patterns,al_draw_text,
17,24,Apiza,"```\nvoid al_draw_text(const ALLEGRO_FONT *font,\n ALLEGRO_COLOR color, float x, float y, int flags,\n char const *text) \n```",INFORM,23,CONT,basic,al_draw_text,
18,25,Programmer,how to get size of display,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
19,26,Apiza,Here is a function that might help with that:\n\n,SUGGEST,25,POS,patterns,al_get_display,
19,27,Apiza,```\nint al_get_display_width(ALLEGRO_DISPLAY *display)\n```,INFORM,26,CONT,basic,al_get_display,
20,28,Programmer,show me example of using al_draw_text,ELICIT-INFORM,24,FOL,examples,al_draw_text,
21,29,Apiza,Here is an example of drawing text:\n\n,INFORM,28,POS,examples,,
21,30,Apiza,<https://wiki.allegro.cc/index.php?title=Allegro_5_Tutorial/Addons/Fonts>,INFORM,29,CONT,examples references,,
22,31,Programmer,show me man page for al_load_ttf_font,ELICIT-INFORM,,,basic,al_load_ttf_font,
23,32,Apiza,Here is the documentation for `al_load_ttf_font`:\n\n,INFORM,31,POS,,al_load_ttf_font,
23,33,Apiza,"```\nLoads a TrueType font from a file using the FreeType library. Quoting from the FreeType FAQ this means support for many different font formats:\n\nTrueType, OpenType, Type1, CID, CFF, Windows FON/FNT, X11 PCF, and others\n\nThe size parameter determines the size the font will be rendered at, specified in pixels. The standard font size is measured in units per EM, if you instead want to specify the size as the total height of glyphs in pixels, pass it as a negative value.\n\n",INFORM,32,CONT,functionality directives patterns  references,al_load_ttf_font,
23,34,Apiza," Note: If you want to display text at multiple sizes, load the font multiple times with different size parameters.\n\n",INFORM,33,CONT,patterns,al_load_ttf_font,
