line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,how do I create a new ssh_session in libssh,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
2,1,Apiza,Are you looking for ssh_new(void )? ,SUGGEST,0,POS,patterns,ssh_new,
2,2,Apiza,"Returns A new ssh_session pointer, NULL on error.",INFORM,1,CONT,basic functionality,ssh_new,
3,3,Programmer,What is in ssh_session_struct for libssh?,ELICIT-INFORM,2,FOL,structure,ssh_session,
4,4,Programmer,How do I connect to localhost in libssh,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
5,5,Apiza,The ssh::Session class contains the state of a SSH connection.,INFORM,3,POS,concepts,ssh::Session,
6,6,Apiza,"I found the following similar to ""connect"" and ""localhost"": ssh_connect() and ssh_options_getopt()",INFORM,4,PART,patterns,ssh_connect ssh_options_getopt,
7,7,Programmer,Show me an example of connecting to localhost with libssh,ELICIT-INFORM,,,examples,,
8,8,Apiza,"To connect to a particular host, you may use ssh_options_set(ssh_session session, enum ssh_options_e type, const void * value ) using the parameter SSH_OPTIONS_HOST: The hostname or ip address to connect to (const char *).",SUGGEST,7,POS,patterns basic,ssh_options_set,
9,9,Apiza,"For example: ssh_options_set(my_session, SSH_OPTIONS_HOST, ""localhost"");",INFORM,8,CONT,examples,ssh_options_set,
10,10,Programmer,What does ssh_connect return?,ELICIT-INFORM,6,FOL,functionality,ssh_connect,
11,11,Apiza,"Returns SSH_OK on success, SSH_ERROR on error. SSH_AGAIN, if the session is in nonblocking mode, and call must be done again.",INFORM,10,POS,functionality,ssh_connect,
12,12,Programmer,Please list the functions in libssh,ELICIT-INFORM,,,structure,libssh,
13,13,Apiza,There are many functions in libssh. ,INFORM,12,PART,structure,libssh,
13,14,Apiza,Can you specify what kind of function you are looking for?,SUGGEST,12,FOL,,libssh,
14,15,Programmer,How do I authenticate the server in libssh?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
15,16,Programmer,How do I disconnect from the server and free the session?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
16,17,Programmer,How do I disconnect from the server?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
17,18,Programmer,How do I free the session in libssh?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
18,19,Apiza,Are you looking for ssh_is_server_known()? ,SUGGEST,15,POS,patterns,ssh_is_server_known,
18,20,Apiza,Checks the user's known host file for a previous connection to the current server.,INFORM,19,CONT,functionality,ssh_is_server_known,
19,21,Apiza,"Are you looking for ssh_disconnect(), ssh_silent_disconnect(), or ssh_free()?",ELICIT-INFORM,16,POS,patterns,ssh_disconnect ssh_silent_disconnect ssh_free,
20,22,Apiza,You may ask for more information about any of these functions.,SUGGEST,21,FOL,,ssh_disconnect ssh_free,
21,23,Programmer,What does ssh_is_server_known return in libssh?,ELICIT-INFORM,19,FOL,functionality basic,ssh_is_server_known,
22,24,Programmer,What does ssh_disconnect return in libssh,ELICIT-INFORM,21,FOL,functionality basic,ssh_disconnect,
23,25,Programmer,What does ssh_free return in libssh?,ELICIT-INFORM,21,FOL,functionality basic,ssh_free,
24,26,Apiza,ssh_is_server_known returns SSH_SERVER_KNOWN_OK: The server is known and has not changed.\nSSH_SERVER_KNOWN_CHANGED: The server key has changed. Either you are under attack or the administrator changed the key. You HAVE to warn the user about a possible attack.\nSSH_SERVER_FOUND_OTHER: The server gave use a key of a type while we had an other type recorded. It is a possible attack.\nSSH_SERVER_NOT_KNOWN: The server is unknown. User should confirm the MD5 is correct.\nSSH_SERVER_FILE_NOT_FOUND: The known host file does not exist. The host is thus unknown. File will be created if host key is accepted.\nSSH_SERVER_ERROR: Some error happened.,INFORM,23,POS,functionality,ssh_is_server_known,
25,27,Apiza,ssh_disconnect returns void.,INFORM,24,POS,basic,ssh_disconnect,
26,28,Apiza,ssh_free returns void.,INFORM,25,POS,basic,ssh_free,
27,29,Programmer,How do I create a new ssh_channel in libssh?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,ssh_channel,
28,30,Programmer,What object type is an ssh_channel?,ELICIT-INFORM,,,basic,ssh_channel,
29,31,Apiza,You may be looking for ssh_channel_new(). ,SUGGEST,29,POS,patterns,ssh_channel_new,
29,32,Apiza,Allocate a new channel.,INFORM,31,CONT,functionality,ssh_channel_new,
30,33,Apiza,The ssh::Channel class describes the state of an SSH channel.,INFORM,30,POS,concepts,ssh::Channel,
31,34,Programmer,How do I send a command over an ssh:Channel,ELICIT-OFFER-OR-SUGGESTION,,,patterns,ssh::Channel,
32,35,Programmer,How do I close a channel?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
33,36,Programmer,How do I free a channel?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
34,37,Apiza,Are you looking for ssh_channel_request_exec()? ,SUGGEST,34,POS,patterns,ssh_channel_request_exec,
34,38,Apiza,Run a shell command without an interactive shell. This is similar to 'sh -c command'.,INFORM,37,CONT,functionality,ssh_channel_request_exec,
35,39,Apiza,You may be looking for ssh_channel_close().,SUGGEST,35,POS,patterns,ssh_channel_close,
