line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,How to create a new ssh session?,eli-sugg,,,patterns,ssh_session,
2,1,Apiza,"To create a new session, use ssh_new with signature ssh_session ssh_new()",sugg,0,POS,patterns basic,ssh_session ssh_new,
3,2,Programmer,what is the signature?,eli-info,1,FOL,concepts,,
4,3,Apiza,The method signature explains how to call the method,info,2,POS,concepts,,
5,4,Programmer,what parameters has the method ssh_new()?,eli-info,1,FOL,basic,ssh_new,
6,5,Apiza,There are no parameters for ssh_new,info,4,POS,basic,ssh_new,
7,6,Programmer,what type of values does it return?,eli-info,1,FOL,basic,ssh_new,
8,7,Apiza,ssh_new return ssh_session or NULL on error.,info,6,POS,basic,ssh_new,
9,8,Programmer,How to connect to the server?,eli-sugg,,,patterns,,
10,9,Apiza,"To connect to the ssh server, use ssh_connect",sugg,8,POS,patterns,ssh_connect,
11,10,Programmer,is ssh_connect a function?,confirm,9,FOL,basic,ssh_connect,
12,11,Apiza,yes,yes,10,POS,basic,ssh_connect,
13,12,Programmer,what parameters does it take?,eli-info,9,FOL,basic,ssh_connect,
14,13,Apiza,It takes in one parameter: a session with data type ssh_session,info-extra,12,POS,basic,ssh_connect,
15,14,Apiza,The method signature is int ssh_connect(ssh_session session),info-extra,13,FOL,basic,ssh_connect,
16,15,Programmer,what value does it return?,eli-info,9,FOL,basic,ssh_connect,
17,16,Programmer,ok iunderstand,accept,15,NEG,,,
18,17,Programmer,how to specify the exact server i want to connect to?,eli-sugg-related,9,FOL,patterns,ssh_connect,
19,18,Apiza,You can use the method ssh_options_set for that,sugg,17,POS,patterns,ssh_options_set,
20,19,Apiza,"The method signature is int ssh_options_set(ssh_session session, enum ssh_options_e type, const void * value)",sugg,18,CONT,basic,ssh_options_set,
21,20,Programmer,what is the relationship between ssh_connect and ssh_options?,eli-info,,,structure,ssh_options_set ssh_connect,
22,21,Apiza,ssh_options_set is a function that can set all possible ssh options,sugg-info-extra,20,POS,functionality,ssh_options_set,
23,22,Apiza,The enum ssh_options_e can be values such as SSH_OPTIONS_HOST and SSH_OPTIONS_PORT,sugg-info-extra,21,CONT,patterns,ssh_options_set,
24,23,Programmer,is ssh_options enough by itself to connect to the server?,eli-info,22,FOL,functionality,ssh_options_set,
25,24,Programmer,or i should use it first then use ssh_connect?,eli-info,23,CONT,patterns,ssh_options_set ssh_connect,
26,25,Apiza,The method ssh_options_set sets the options.,info,23,POS,functionality,ssh_options_set,
27,26,Programmer,"the right order is ssh_options then ssh_connect, right?",confirm,25,FOL,patterns,ssh_options_set ssh_connect,
28,27,Apiza,"I'm sorry,",give-up,26,NEG,,,
28,28,Apiza, I'm only able to respond to API questions,give-up,27,CONT,,,
