line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,Hello,BE-POSITIVE,,,,,
2,1,Apiza,Hello!,BE-POSITIVE,0,POS,,,
3,2,Programmer,"Hey, how do I get key press events?",ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
4,3,Apiza,Are you asking about the al_key_down method?,ELICIT-INFORM,2,POS,basic,al_key_down,
5,4,Apiza,This method returns true if the key specified was held down in the state specified.,INFORM,3,CONT,functionality,al_key_down,
6,5,Programmer,I would like to know how to know if a key was pressed,ELICIT-INFORM,4,FOL,patterns,,
7,6,Programmer,can you give me details on how to use al_key_down ?,ELICIT-INFORM,5,CONT,patterns,al_key_down,
8,7,Apiza,"The method signature is bool al_key_down(const ALLEGRO_KEYBOARD_STATE *state, int keycode)",INFORM,6,POS,basic,al_key_down,
9,8,Apiza,Would you like to know about ALLEGRO_KEYBOARD_STATE?,ELICIT-INFORM,7,FOL,basic,ALLEGRO_KEYBOARD_STATE,
10,9,Programmer,yes,INFORM,8,POS,,ALLEGRO_KEYBOARD_STATE,
11,10,Apiza,"This is a structure that is used to hold a ""snapshot"" of a keyboard\'s state at a particular instant. ",INFORM,9,POS,purpose,ALLEGRO_KEYBOARD_STATE,
11,11,Apiza,"It contains the following publically readable fields: display - points to the display that had keyboard focus at the time the state was saved. If no display was focused, this points to NULL.",INFORM,10,POS,structure concepts,ALLEGRO_KEYBOARD_STATE,
12,12,Programmer,how do I get a ALLEGRO_KEYBOARD_STATE?,ELICIT-OFFER-OR-SUGGESTION,11,FOL,patterns,ALLEGRO_KEYBOARD_STATE,
13,13,Apiza,Are you asking about the method al_get_keyboard_state?,ELICIT-INFORM,12,FOL,basic,al_get_keyboard_state,
14,14,Programmer,yes,INFORM,13,POS,,al_get_keyboard_state,
15,15,Apiza,This method saves the state of the keyboard specified at the time the function is called into the structure pointed to by ret_state.,INFORM,14,POS,functionality,al_get_keyboard_state,
16,16,Apiza,void al_get_keyboard_state(ALLEGRO_KEYBOARD_STATE *ret_state,INFORM,15,CONT,basic,al_get_keyboard_state,
17,17,Programmer,what are the keycode for the arrow keys?,ELICIT-INFORM,,,structure,,
18,18,Apiza,Are you asking about ALLEGRO_KEY_LEFT and ALLEGRO_KEY_RIGHT?,ELICIT-INFORM,17,POS,basic,ALLEGRO_KEY_*,
19,19,Programmer,yes,INFORM,18,POS,,,
20,20,Programmer,how do I initialize the keyboard?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
21,21,Apiza,Are you asking about the method al_install_keyboard?,ELICIT-INFORM,20,FOL,basic,al_install_keyboard,
22,22,Programmer,yes,INFORM,21,POS,,al_install_keyboard,
23,23,Apiza,The method installs a keyboard driver. ,INFORM,22,POS,functionality,al_install_keyboard,
23,24,Apiza,"Returns true if successful. If a driver was already installed, nothing happens and true is returned.",INFORM,23,CONT,functionality,al_install_keyboard,
24,25,Apiza,bool al_install_keyboard(void),INFORM,24,CONT,basic,al_install_keyboard,
25,26,Programmer,how do I play a sound ?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
