line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,"Hi Apiza,",BE-POSITIVE,,,,,
1,1,Programmer,how's it going?,ELICIT-INFORM,,,,,
2,2,Apiza,Hello,BE-POSITIVE,0,POS,,,
3,3,Programmer,How was your day?,ELICIT-INFORM,,,,,
4,4,Apiza,I am well.,INFORM,3,POS,,,
5,5,Programmer,It was hot here today.,INFORM,,,,,
5,6,Programmer,How is the weather where you are?,ELICIT-INFORM,5,FOL,,,
6,7,Apiza,The weather here is warm with thunderstorms.,INFORM,6,POS,,,
7,8,Programmer,I'm just outside Chicago.,INFORM,,,,,
7,9,Programmer,Are you located in South Bend?,ELICIT-INFORM,8,FOL,,,
8,10,Apiza,"My current location is Cleveland, OH, United States.",INFORM,9,POS,,,
9,11,Programmer,"Apiza, what is the command to create a new ssh_session in the libssh API?",ELICIT-INFORM,,,patterns,ssh_session,
10,12,Apiza,The command to create a new ssh session is:\n,INFORM,11,POS,patterns,ssh_session ssh_new,
10,13,Apiza,ssh_session ssh_new\t(\tvoid \t\t)\n\n,INFORM,12,CONT,basic,ssh_new,
10,14,Apiza,Description\nCreate a new ssh session.\n\n\n\n,INFORM,13,CONT,basic,ssh_new,
10,15,Apiza,"Returns\nA new ssh_session pointer, NULL on error.",INFORM,14,CONT,functionality,ssh_new,
11,16,Programmer,"Just to confirm, is the ssh_session type a pointer type?",ELICIT-INFORM,15,FOL,basic,ssh_session ssh_new,
12,17,Apiza,ssh_session is not a pointer type.,INFORM,16,POS,basic,ssh_session ssh_new,
13,18,Programmer,"But when you gave me the command to create a new ssh session, you said it ""Returns"" ""A new ssh_session pointer..."".",INFORM,17,UNC,,ssh_session ssh_new,
14,19,Programmer,I'm confused.,ASSESS,18,CONT,,,
15,20,Apiza,ssh_new returns a pointer to type ssh_session,INFORM,17,FOL,basic,ssh_session ssh_new,
16,21,Programmer,"OK,",COMMENT-ABOUT-UNDERSTANDING,20,POS,,,
16,22,Programmer, thanks for clarifying.,BE-POSITIVE,21,CONT,,,
17,23,Programmer,Next up: how do I connect to a host using the libssh API?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
18,24,Apiza,"To connect to a host, try using the command:\n",SUGGEST,23,POS,patterns,ssh_connect,
18,25,Apiza,int ssh_connect\t(\tssh_session \tsession\t)\n\n,INFORM,24,CONT,basic,ssh_connect,
18,26,Apiza,Description\nConnect to the ssh server.\n\n,INFORM,25,CONT,basic,ssh_connect,
