line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,libssh documentary,ELICIT-INFORM,,,basic,libssh,
2,1,Programmer,how to create an ssh session with libssh?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
3,2,Apiza,Are you looking for the function ssh_new(void )? ,SUGGEST,1,POS,patterns,ssh_new,
3,3,Apiza,Create a new ssh session. ,INFORM,2,CONT,basic,ssh_new,
3,4,Apiza,"Returns A new ssh_session pointer, NULL on error.",INFORM,3,CONT,functionality,ssh_new,
4,5,Programmer,how to connect to a server,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
5,6,Programmer,libssh documentary overview,ELICIT-INFORM,0,REP,basic,libssh,
6,7,Programmer,ssh_session* ssh_new incompatible pointer type,ELICIT-INFORM,3,FOL,functionality,ssh_new ssh_session,
7,8,Apiza,ssh_connect(ssh_session session). ,INFORM,5,POS,basic,ssh_connect,
7,9,Apiza,Connect to the ssh server. ,INFORM,8,CONT,basic,ssh_connect,
7,10,Apiza,Parameters: session- The ssh session to connect. ,INFORM,9,CONT,basic,ssh_connect,
7,11,Apiza,"Returns: SSH_OK on success, SSH_ERROR on error. SSH_AGAIN, if the session is in nonblocking mode, and call must be done again.",INFORM,10,CONT,functionality,ssh_connect,
8,12,Apiza,"I\'m sorry,",BE-POSITIVE,6,UNC,,,
8,13,Apiza," I\'m not sure what you mean by ""libssh documentary overview""",COMMENT-ABOUT-UNDERSTANDING,12,CONT,,libssh,
9,14,Programmer,list all function of libssh documentary,ELICIT-INFORM,,,structure,libssh,
10,15,Programmer,ssh_connect set server,ELICIT-OFFER-OR-SUGGESTION,8,FOL,patterns,ssh_connect,
11,16,Programmer,ssh_session pointer typedef,ELICIT-INFORM,3,FOL,structure,ssh_session,
12,17,Programmer,type of SSH_ERROR,ELICIT-INFORM,3,FOL,basic,ssh_connect,
13,18,Apiza,The function ssh_new(void ) takes no arguments,INFORM,7,POS,basic,ssh_new,
13,19,Apiza,"and returns a new ssh_session pointer, NULL on error.",INFORM,18,CONT,basic functionality,ssh_new,
14,20,Apiza,"There are many functions in libssh, ",INFORM,14,NEG,,libssh,
14,21,Apiza,would you like to narrow down to a specific topic?,SUGGEST,20,FOL,,libssh,
15,22,Programmer,setting up a ssh connection and authentification with a server,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
16,23,Apiza,"OK, ",COMMENT-ABOUT-UNDERSTANDING,22,POS,,,
16,24,Apiza,how can I help you with setting up a ssh connection and authentication with a server?,ELICIT-OFFER-OR-SUGGESTION,22,FOL,patterns,,
17,25,Programmer,show me an example,ELICIT-INFORM,24,FOL,examples,,
18,26,Apiza,// Connect to server\n rc = ssh_connect(my_ssh_session);,INFORM,25,POS,examples,ssh_connect,
19,27,Programmer,show me the typedefinition of my_ssh_session,ELICIT-INFORM,26,FOL,structure,ssh_session,
20,28,Apiza,The ssh::Session class contains the state of a SSH connection.,INFORM,27,POS,concepts,ssh::Session,
21,29,Programmer,ssh_connection signature,ELICIT-INFORM,26,FOL,basic,ssh_connect,
22,30,Apiza,ssh_connect()\n,OTHER,29,POS,basic,ssh_connect,
22,31,Apiza,int ssh_connect(ssh_session session)\n,INFORM,30,CONT,basic,ssh_connect,
22,32,Apiza,Connect to the ssh server.\n,INFORM,31,CONT,basic,ssh_connect,
22,33,Apiza,Parameters[in]sessionThe ssh session to connect.\n,INFORM,32,CONT,basic,ssh_connect,
22,34,Apiza,"Returns SSH_OK on success, SSH_ERROR on error.SSH_AGAIN, if the session is in nonblocking mode, and call must be done again.",INFORM,33,CONT,functionality,ssh_connect,
23,35,Programmer,typedefinition ssh_session,ELICIT-INFORM,34,FOL,structure,ssh_session,
24,36,Apiza,The ssh::Session class contains the state of a SSH connection. ,INFORM,35,POS,concepts,ssh::Session,
24,37,Apiza,There are 22 member functions. ,INFORM,35,PART,structure,ssh::Session,
24,38,Apiza,Do you need help connecting an ssh_session?,ELICIT-INFORM,36,FOL,patterns,ssh_session,
25,39,Programmer,show me the members of ssh_session,ELICIT-INFORM,37,FOL,structure,ssh_session,
26,40,Apiza,"Members include acceptForward(int timeout_ms), connect(), disconnect(), getAuthList()...",INFORM,39,POS,structure,ssh::Session,
27,41,Programmer,show me fields of ssh_session,ELICIT-INFORM,39,REP,structure,ssh_session,
28,42,Programmer,definition of ssh_session_struct,ELICIT-INFORM,37,FOL,structure,ssh_session_struct,
29,43,Apiza,ssh_session has: friend class Channel;,INFORM,41,POS,structure,ssh_session,
30,44,Apiza,"I'm sorry, ",BE-POSITIVE,42,NEG,,,
30,45,Apiza,I could not find ssh_session_struct.,INFORM,44,CONT,,ssh_session_struct,
31,46,Programmer,how to set a remote for an ssh-session,ELICIT-OFFER-OR-SUGGESTION,,,patterns,ssh_session,
32,47,Apiza,I believe ssh_options_set() will help you set a remote for an ssh-session. ,SUGGEST,46,POS,patterns,ssh_options_set ssh_session,
32,48,Apiza,Would you like to know more?,ELICIT-INFORM,47,FOL,basic,ssh_options_set,
33,49,Programmer,yes,INFORM,48,POS,basic,ssh_options_set,
34,50,Apiza,"int ssh_options_set(ssh_session session,enum ssh_options_e type,const void * value )\n\n",INFORM,47,CONT,basic,ssh_options_set,
34,51,Apiza,Parameters: session- An allocated SSH session structure.type- The option type to set. value- The value to set. This is a generic pointer and the datatype which is used should be set according to the type set.\n\n,INFORM,50,CONT,functionality,ssh_options_set,
34,52,Apiza,"Returns: 0 on success, &lt; 0 on error. ",INFORM,51,CONT,functionality,ssh_options_set,
35,53,Programmer,ssh_options_e,ELICIT-INFORM,50,FOL,functionality directives,ssh_options_set,
36,54,Apiza,"There are many options for ssh_options_e type, including SSH_OPTIONS_HOST: The hostname or ip address to connect to (const char *), SSH_OPTIONS_PORT: The port to connect to (unsigned int), and SSH_OPTIONS_PORT_STR: The port to connect to (const char *).",INFORM,53,POS,functionality directives,ssh_options_set,
37,55,Programmer,authenticate user,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
