line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,How do I register key events?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
2,1,Apiza,You'll most likely want to be using al_key_down:\n\n,SUGGEST,0,POS,patterns,al_key_down,
2,2,Apiza,"bool al_key_down(const ALLEGRO_KEYBOARD_STATE *state, int keycode)\n\n",INFORM,1,CONT,basic,al_key_down,
2,3,Apiza,Return true if the key specified was held down in the state specified.,INFORM,2,CONT,functionality,,
3,4,Programmer,Can I use keyboard events as an event source?,ELICIT-INFORM,,,functionality,,
4,5,Apiza,"Yes, ",INFORM,4,POS,functionality,,
4,6,Apiza,you'll want to use something like:\n\n,SUGGEST,5,CONT,,,
4,7,Apiza,"al_register_event_source(event_queue, al_get_keyboard_event_source());",INFORM,6,CONT,examples,al_register_event_source,
5,8,Programmer,What event type is a keyboard event?,ELICIT-INFORM,,,structure,,
6,9,Apiza,One of the following:\n\nALLEGRO_EVENT_KEY_DOWN\nALLEGRO_EVENT_KEY_UP\nALLEGRO_EVENT_KEY_CHAR,INFORM,8,POS,structure,ALLEGRO_EVENT_KEY_*,
7,10,Programmer,How do I access the keycode from an event object?,ELICIT-OFFER-OR-SUGGESTION,9,FOL,patterns,ALLEGRO_EVENT_KEY_*,
8,11,Apiza,ev.keyboard.keycode will get you the keycode for event ev.,SUGGEST,10,POS,patterns,ALLEGRO_EVENT_KEY_*,
9,12,Programmer,"What are the keycodes for up, down, left and right?",ELICIT-INFORM,11,FOL,patterns,ALLEGRO_EVENT_KEY_*,
10,13,Apiza,The keycodes for the arrow keys are the following:\n\n,INFORM,12,POS,patterns,ALLEGRO_EVENT_KEY_* ALLEGRO_KEY_*,
10,14,Apiza,ALLEGRO_KEY_LEFT\nALLEGRO_KEY_RIGHT\nALLEGRO_KEY_UP\nALLEGRO_KEY_DOWN,INFORM,13,CONT,patterns,ALLEGRO_EVENT_KEY_* ALLEGRO_KEY_*,
11,15,Programmer,"al_get_keyboard is failing with ""Assertion `new_keyboard_driver\' failed"".",INFORM,7,FOL,functionality,al_get_keyboard,
11,16,Programmer,What might be the cause of this?,ELICIT-INFORM,15,CONT,functionality,al_get_keyboard,
12,17,Apiza,Have you called al_install_keyboard?,ELICIT-INFORM,16,FOL,patterns,al_get_keyboard al_install_keyboard,
13,18,Programmer,How do I call al_install_keyboard?,ELICIT-OFFER-OR-SUGGESTION,17,FOL,patterns,al_install_keyboard,
14,19,Apiza,al_install_keyboard() should work.\n\n,SUGGEST,18,POS,patterns,al_install_keyboard,
14,20,Apiza,bool al_install_keyboard(void)\n\n,INFORM,19,CONT,basic,al_install_keyboard,
14,21,Apiza,Install a keyboard driver. ,INFORM,20,CONT,functionality,al_install_keyboard,
14,22,Apiza,"Returns true if successful. If a driver was already installed, nothing happens and true is returned.",INFORM,21,CONT,functionality,al_install_keyboard,
15,23,Programmer,How do I play a sound in Allegro?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
16,24,Apiza,You should be able to play a sound with al_play_sample:\n\n,SUGGEST,23,POS,patterns,al_play_sample,
16,25,Apiza,"bool al_play_sample(ALLEGRO_SAMPLE *spl, float gain, float pan, float speed,\n ALLEGRO_PLAYMODE loop, ALLEGRO_SAMPLE_ID *ret_id)\n\n",INFORM,24,CONT,basic,al_play_sample,
16,26,Apiza,Plays a sample on one of the sample instances created by al_reserve_samples. ,INFORM,25,CONT,functionality patterns,al_play_sample,
16,27,Apiza,"Returns true on success, false on failure. ",INFORM,26,CONT,functionality,al_play_sample,
16,28,Apiza,Playback may fail because all the reserved sample instances are currently used.\n\n,INFORM,27,CONT,functionality,al_play_sample,
16,29,Apiza,"Parameters:\n\ngain - relative volume at which the sample is played; 1.0 is normal.\npan - 0.0 is centred, -1.0 is left, 1.0 is right, or ALLEGRO_AUDIO_PAN_NONE.\nspeed - relative speed at which the sample is played; 1.0 is normal.\nloop - ALLEGRO_PLAYMODE_ONCE, ALLEGRO_PLAYMODE_LOOP, or ALLEGRO_PLAYMODE_BIDIR\nret_id - if non-NULL the variable which this points to will be assigned an id representing the sample being played. If al_play_sample returns false, then the contents of ret_id are invalid and must not be used as argument to other functions.",INFORM,28,CONT,concepts patterns functionality,al_play_sample,
17,30,Programmer,How do I load a sample in Allegro?,ELICIT-OFFER-OR-SUGGESTION,29,FOL,patterns,,
18,31,Apiza,You should be able to load a sample with al_load_sample:\n\n,SUGGEST,30,POS,patterns,al_load_sample,
18,32,Apiza,ALLEGRO_SAMPLE *al_load_sample(const char *filename)\n\n,INFORM,31,CONT,basic,al_load_sample,
18,33,Apiza,Loads a few different audio file formats based on their extension.\n\n,INFORM,32,CONT,functionality,al_load_sample,
18,34,Apiza,"Note that this stores the entire file in memory at once, which may be time consuming. To read the file as it is needed, use al_load_audio_stream.\n\n",INFORM,33,CONT,quality patterns,al_load_sample,
18,35,Apiza,"Returns the sample on success, NULL on failure.",INFORM,34,CONT,functionality,al_load_sample,
19,36,Programmer,How do I get more detailed error information from Allegro?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
20,37,Apiza,I don't think you can get more detailed information than you're already getting.,INFORM,36,PART,functionality,,
20,38,Apiza,Is there any error in particular you're having trouble with?,ELICIT-INFORM,37,FOL,functionality,,
21,39,Programmer,al_load_sample is returning NULL.,INFORM,38,POS,functionality,al_load_sample,
21,40,Programmer,Is there any way to find out why?,ELICIT-OFFER-OR-SUGGESTION,39,FOL,patterns,al_load_sample,
22,41,Apiza,al_load_sample returns NULL on failure.,INFORM,40,PART,functionality,al_load_sample,
22,42,Apiza,Have you called al_init_acodec_addon?\n\n,ELICIT-INFORM,41,FOL,patterns,al_load_sample al_init_acodec_addon,
22,43,Apiza,bool al_init_acodec_addon(void)\n\n,INFORM,42,FOL,basic,al_init_acodec_addon,
22,44,Apiza,"This function registers all the known audio file type handlers for al_load_sample, al_save_sample, al_load_audio_stream, etc.\n\nDepending on what libraries are available, the full set of recognised extensions is: .wav, .flac, .ogg, .opus, .it, .mod, .s3m, .xm, .voc.\n\n",INFORM,43,CONT,functionality purpose directives,al_init_acodec_addon,
22,45,Apiza,"Limitations:\n\nSaving is only supported for wav files.\n\nThe wav file loader currently only supports 8/16 bit little endian PCM files. 16 bits are used when saving wav files. Use flac files if more precision is required.\n\nModule files (.it, .mod, .s3m, .xm) are often composed with streaming in mind, and sometimes cannot be easily rendered into a finite length sample. Therefore they cannot be loaded with al_load_sample/al_load_sample_f and must be streamed with al_load_audio_stream or al_load_audio_stream_f.\n\n.voc file streaming is unimplemented.",INFORM,44,CONT,directives quality,al_init_acodec_addon,
23,46,Programmer,Now al_load_sample is segfaulting.,INFORM,45,FOL,functionality,al_load_sample,
23,47,Programmer,Is there anything else I need to do before calling al_load_sample?,ELICIT-OFFER-OR-SUGGESTION,46,FOL,patterns,al_load_sample,
24,48,Apiza,You'll also want to call al_reserve_samples:\n\n,SUGGEST,47,POS,patterns,al_load_sample al_reserve_samples,
24,49,Apiza,bool al_reserve_samples(int reserve_samples)\n\n,INFORM,48,CONT,basic,al_reserve_samples,
