line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,Hi Apiza,be-pos,,,,,
2,1,Apiza,Hello! ,be-pos,0,POS,,,
2,2,Apiza,"I am Apiza, a virtual assistant designed to help you navigate and use APIs. ",other,,,,,
2,3,Apiza,How can I help?,offer,,,,,
3,4,Programmer,What is the definition of structure of ALLERGO_EVENT,eli-info,,,structure basic,ALLEGRO_EVENT,
4,5,Programmer,?,eli-info,4,CONT,,,
5,6,Apiza,I found the following description for ALLEGRO_EVENT:\n\n,info-extra,4,POS,,ALLEGRO_EVENT,
5,7,Apiza,"An ALLEGRO_EVENT is a union of all builtin event structures, i.e. it is an object large enough to hold the data of any event type. ",info-extra,6,CONT,basic quality,ALLEGRO_EVENT,
5,8,Apiza,All events have the following fields in common:\n\ntype (ALLEGRO_EVENT_TYPE)\n\tIndicates the type of event.\nany.source (ALLEGRO_EVENT_SOURCE *)\n\tThe event source which generated the event.\nany.timestamp (double)\n\tWhen the event was generated.,info-extra,7,CONT,structure,ALLEGRO_EVENT,
6,9,Programmer,What are the possible values for ALLERGO_EVENT_TYPE,eli-info-related,8,FOL,structure,ALLEGRO_EVENT ALLEGRO_EVENT_TYPE,
7,10,Programmer,And ALLERGO_EVENT_SOURCE,eli-info-related,9,FOL,structure,ALLEGRO_EVENT ALLEGRO_EVENT_SOURCE,
8,11,Apiza,"ALLERGO_EVENT_TYPE is an enum with several values, including ALLEGRO_EVENT_JOYSTICK_AXIS , ALLEGRO_EVENT_KEY_DOWN , and ALLEGRO_EVENT_MOUSE_AXES. There are 30 different values in total. ",info,10,POS,structure basic,ALLEGRO_EVENT_TYPE,
8,12,Apiza,Are you looking for one type in particular?,eli-info,11,FOL,structure,ALLEGRO_EVENT_TYPE,
9,13,Apiza,I found the following description of ALLEGRO_EVENT_SOURCE:\n\n,info-extra,10,POS,,ALLEGRO_EVENT_SOURCE,
9,14,Apiza,"An event source is any object which can generate events. For example, an ALLEGRO_DISPLAY can generate events, and you can get the ALLEGRO_EVENT_SOURCE pointer from an ALLEGRO_DISPLAY with al_get_display_event_source.\n\nYou may create your own ""user"" event sources that emit custom events.",info-extra,13,CONT,concepts patterns,ALLEGRO_EVENT_SOURCE,
10,15,Programmer,Please tell me more about ALlERGO_EVENT_KEY events,eli-info-related,11,FOL,basic,ALLEGRO_EVENT_KEY_*,
11,16,Apiza,"There are three different types of EVENT_KEY events: ALLEGRO_EVENT_KEY_DOWN, ALLEGRO_EVENT_KEY_UP, and ALLEGRO_EVENT_KEY_CHAR",info,15,POS,structure,ALLEGRO_EVENT_KEY_*,
12,17,Programmer,Is there allergo_event key left and key right,eli-info,,,structure,ALLEGRO_EVENT_KEY_*,
13,18,Apiza,I found two Key codes: ALLEGRO_KEY_LEFT and ALLEGRO_KEY_RIGHT. ,info-extra,17,POS,structure,ALLEGRO_KEY_*,
13,19,Apiza,These can be used with keyboard routines such as al_key_down,info-extra,18,FOL,patterns,ALLEGRO_KEY_*,
14,20,Programmer,Tell me more about al_key routines,eli-sugg-related,19,FOL,basic,al_key_*,
15,21,Apiza,There are 9 functions directly relating to the keyboard:\n\nal_install_keyboard\nal_is_keyboard_installed\nal_uninstall_keyboard\nal_get_keyboard_state\nal_clear_keyboard_state\nal_key_down\nal_keycode_to_name\nal_set_keyboard_leds\nal_get_keyboard_event_source,sugg-all,20,POS,structure,al_key_*,
16,22,Programmer,What function plays an audio file?,eli-sugg,,,patterns,,
17,23,Apiza,There are many function related to Audio playback. ,sugg,22,PART,structure,,
17,24,Apiza,al_play_sample plays a given ALLEGRO_SAMPLE.\n ,sugg,22,POS,patterns,al_play_sample ALLEGRO_SAMPLE,
17,25,Apiza,"bool al_play_sample(ALLEGRO_SAMPLE *spl, float gain, float pan, float speed,\n ALLEGRO_PLAYMODE loop, ALLEGRO_SAMPLE_ID *ret_id)",sugg,24,CONT,basic,al_play_sample ALLEGRO_SAMPLE,
18,26,Apiza,Would you like help loading and playing an ALLEGRO_SAMPLE?,confirm,22,FOL,patterns,ALLEGRO_SAMPLE,
19,27,Programmer,Yes,yes,26,POS,patterns,,
20,28,Apiza,Sure thing! ,be-pos,27,POS,,,
20,29,Apiza,It looks like this is how you could load and play an audio file:\n\n\n ,info,27,POS,examples,,
